count,mean,std,min,25%,50%,75%,max
MEAN_RR,369289.0,846.6501038232773,124.60398380585494,547.4922213066667,760.2285327733333,822.9514383666666,924.1174217133333,1322.01695712
MEDIAN_RR,369289.0,841.9658901864392,132.32100534541127,517.2932950000002,755.750735,819.689595,916.82157,1653.12225
SDRR,369289.0,109.35253129815027,77.11702451212265,27.23394650657078,64.20564074822529,82.6082430295874,118.2370015546995,563.4869491416354
RMSSD,369289.0,14.97749799653736,4.120766163174809,5.529742165800327,11.83095855546081,14.41591759107124,17.92714429958096,26.629476627458853
HR,369289.0,73.94182397352178,10.33745329467738,48.737243024636314,66.71577609098757,74.21780866199228,80.33493669040352,113.75230853041019
pNN50,369289.0,0.8660012438316154,0.9901888990925818,0.0,0.0,0.4666666666666667,1.4666666666666668,5.466666666666668
LF,369289.0,946.5302519938728,574.1717796126459,90.04855704658405,545.4493856454691,782.7162911325157,1201.432255663202,3291.548111905608
HF,369289.0,39.2456029916142,45.39886931598956,0.06178300205221016,10.720312324562213,24.84193798428848,45.27236785634124,364.4869355449088
HF_LF,369289.0,0.0485057149992861,0.049238187260875664,0.00012826361811824958,0.012433231319502441,0.034734588334380034,0.06785430475734447,0.4310434004581643
